text,gold,pred,false_negatives,false_positives
"Damnit Morty! D'you see wha-rrrgh-t you've done!? We're fucked Morty, the squirrels - they're recruiting dolphins now Morty. ",anger,(nenhum),anger,
Does that work for the WSJ? I haven’t read an article from there in a year.,curiosity,(nenhum),curiosity,
Fuck you.,anger,(nenhum),anger,
The goodnight sir cracks me up every time,neutral,(nenhum),neutral,
Well what would make us special? He's vouching for his friend.,curiosity,(nenhum),curiosity,
"The original is funnier... or at least it's funny, to begin with.","amusement, approval",amusement,approval,
Wow what a disappointing game. Wish we would have showed up,disappointment,(nenhum),disappointment,
Point proven. Thanks,"approval, gratitude",gratitude,approval,
"Wife just had our baby, and this story freaked me out. I can't imagine going through something like that.",surprise,(nenhum),surprise,
Just be honest with this person. Sorry I didn’t read the whole thing I don’t have time rn :(,"caring, remorse",(nenhum),"caring, remorse",
I pulled over at a Walmart on my way home from work to chat with all you beautiful faggots while I listen to the speech.,neutral,(nenhum),neutral,
"No, what’s sad is saying the same message like it’s news. He’s a copy paste machine. No original thought.",sadness,(nenhum),sadness,
"Yeah, even though I give it to him that it was confusing that they designed Crysis 1 for PCs that wouldn't come out for like 5 years.",confusion,(nenhum),confusion,
"And [NAME], would again like to apologize for any misunderstanding.","remorse, sadness",(nenhum),"remorse, sadness",
He has a girlfriend. Unfortunately she is not thick. He needs to take a page out of [NAME] book.,neutral,(nenhum),neutral,
My dad also told me the car went underwater the first time we went to the Eastern Shore and I completely forgot about it until I read this comment.,"neutral, realization",neutral,realization,
That's a weird way of spelling Disenchanted,surprise,(nenhum),surprise,
Hey! Your mom sucks.,annoyance,(nenhum),annoyance,
"Didn't know that sub, thanks!","gratitude, realization",gratitude,realization,
"Yea, very rude. Avoid anything with a strong smell like fish and popcorn, curry is just as strong. ",disapproval,(nenhum),disapproval,
I got a lot of withholding to throw me into anxiety.,nervousness,(nenhum),nervousness,
"Nah, he's much smarter than I am about soccer.",admiration,(nenhum),admiration,
"My friend and I have been having good fun queuing Mei/Winston, trololo, and 2 bottles of whisky.",joy,(nenhum),joy,
Praying for me family.,caring,(nenhum),caring,
[NAME]. Gave up in October and haven’t looked back. I can’t believe how easy I’ve found it.,surprise,(nenhum),surprise,
Gotta keep losing to make sure 5th is our worst case scenario,annoyance,(nenhum),annoyance,
Not shocked by the subs [NAME] is active in...,"neutral, realization",neutral,realization,
[NAME] can’t space and [NAME] is getting worse defensively,disgust,(nenhum),disgust,
that's why r/theredpill is such a thing. you arnt the first. you're showing a few nice guy warming signs bud.,neutral,(nenhum),neutral,
That's the purpose of the experiment.,"neutral, realization",neutral,realization,
"I am generally a happy person. If you like to pay millions of dollars to semi-literates to represent your government, it's up to you!",joy,(nenhum),joy,
"That's what I'd hope for! Retool the D day 1, if we could find a gem at QB day 2. ",optimism,(nenhum),optimism,
"Yes, oops ",neutral,(nenhum),neutral,
"Tl, dr - Take the abuse. Squirming only gets them off more.",fear,(nenhum),fear,
You're probably joking but [NAME] has been pretty insightful regarding the yellow vests in France. I was impressed.,joy,admiration,joy,admiration
I only eat cronuts cuz I'm sophisticated!,pride,neutral,pride,neutral
That was an incredibly dumb thing to do. [NAME] is an idiot for trusting her.,"annoyance, disapproval, disgust",(nenhum),"annoyance, disapproval, disgust",
"Fascism doesn't even exist in America. [NAME], these kids are so sheltered. ",caring,(nenhum),caring,
This viral video of her gets posted every once in a while too: Her legs are ridiculously strong.,neutral,admiration,neutral,admiration
"[NAME]... I'm sorry. This is just wrong. I, can't.",disapproval,(nenhum),disapproval,
"Better ye, make some Pho and use lots of sriracha. Things will definitely get heated.",neutral,(nenhum),neutral,
"Hate to be that guy, but that's not DDR, that's Pump It Up, the Korean DDR rip-off.",disgust,(nenhum),disgust,
"It turns out he works for [NAME], so maybe your instinctive distrust might not have been the worst first reaction.",neutral,(nenhum),neutral,
"""You aren't important, just impertinent."" That's a third degree burn","annoyance, approval",neutral,"annoyance, approval",neutral
"Yes, he did. ","approval, neutral",(nenhum),"approval, neutral",
>if your car is so great why do you have to fill it with petrol all the time This is how stupid you sound,annoyance,(nenhum),annoyance,
I dunno. Backhanded compliments in girl world are like professional sports.,neutral,(nenhum),neutral,
Not sad enough fo here the skeleton is dead so he can't comit sucide,neutral,(nenhum),neutral,
*holy shit* I'm pretty sure the panther thought the same thing,neutral,(nenhum),neutral,
"Wait, you don't believe he's infallible? Give an important instance where he has been wrong to prove that please.",neutral,(nenhum),neutral,
We need another goal to show for it. Come on boys.,neutral,(nenhum),neutral,
*10 minutes of awkward roleplay*,embarrassment,(nenhum),embarrassment,
It's on here daily. Karma whores eh?,annoyance,(nenhum),annoyance,
It’s a problem because that box of apparent bone fragments could literally have been found anywhere.,neutral,(nenhum),neutral,
Pretty shit tbh with you,disgust,(nenhum),disgust,
thats amazing!! Congrats!,"admiration, joy",admiration,joy,
CAPTAIN!! ye-yeah? LOOK!!!,neutral,(nenhum),neutral,
I did twist my ankle trying to play that on DDR.,sadness,neutral,sadness,neutral
I genuinely think that would be an iconic shot if it was in a famous horror film. The way the legs just keep on coming is terrifying.,fear,(nenhum),fear,
"I’m only denying what’s not true, and [NAME] being my name isn’t true. ",disappointment,neutral,disappointment,neutral
"i know there were talks about it, but its doubtful :( ",confusion,(nenhum),confusion,
As a Kentucky fan I’ve watched [NAME] all year and he is legit. Just wish there were a scenario that GB could pick him up.,neutral,(nenhum),neutral,
The sad part about this is that these memes are more Gen Z if anything...,sadness,(nenhum),sadness,
> it will not make her look like an idiot It would be hard to make her look any more like an idiot than she already does.,anger,(nenhum),anger,
This happens to me a lot. I'll also sing the same phrase over and over.,neutral,(nenhum),neutral,
“You have no clue what fascism is” Goes on to promote literal genocide tactics. You’re despicable,"anger, disgust",(nenhum),"anger, disgust",
Clearly not well enough,disapproval,(nenhum),disapproval,
"If everybody put down their camera to help, what would you be doing right now?",curiosity,(nenhum),curiosity,
Yikes that's cringe,fear,(nenhum),fear,
No I wish. They don't come to Texas very often.,desire,(nenhum),desire,
im aware. im trying to figure out how the heck you found it in what i said. even after given context to the situation.,"neutral, realization",(nenhum),"neutral, realization",
Ouch. That hurt the ego. And that’s not easy to do.,disappointment,(nenhum),disappointment,
"Yeah, without the music that scene would have been much worse.",disgust,(nenhum),disgust,
Honestly I agree. We should shun vegetarians regardless of the [NAME] thing. /s,approval,(nenhum),approval,
Combination of lapses in defense and the continuing saga of the Sabres' god awful PP.,disgust,(nenhum),disgust,
"I'm sorry you fell for the carnie, bro.",remorse,(nenhum),remorse,
Lol dont mess with [NAME]!,"amusement, annoyance",amusement,annoyance,
I've always wanted one of those but like worry it'll make a huge mess in my washer,"desire, optimism",(nenhum),"desire, optimism",
"I’m a fan of them in the wild, weasels are interesting. Not as pets, nope. ",admiration,(nenhum),admiration,
This is scary and so very sad. Eleven??? A baby! I was still building forts. I weep for this child.,"fear, sadness",(nenhum),"fear, sadness",
"MeToo is about sharing personal stories of sexual assault. Reframing it as accusation based, and as furthering a kidnap, is fucking disgusting.",disgust,(nenhum),disgust,
"If [NAME] is being considered for all defense, [NAME] needs more love too",caring,neutral,caring,neutral
Today is the only day I really hate my job as a dog walker,disgust,(nenhum),disgust,
